,0
135,-11603.5
136,-11342.75
137,-11178.25
138,-11198.25
139,-11503.0
140,-11704.5
141,-11389.25
142,-11480.75
143,-11329.0
144,-11294.75
145,-11381.5
146,-11597.75
147,-11431.25
148,-11144.75
149,-11406.0
150,-11764.75
151,-11861.75
152,-11742.75
153,-11689.25
154,-11811.25
155,-11900.25
156,-11690.75
157,-11780.75
158,-11621.75
159,-11647.0
160,-11752.5
161,-11972.5
162,-11853.0
163,-11798.75
164,-11873.75
165,-11926.0
166,-11919.5
167,-12218.5
168,-12421.25
169,-12118.25
170,-12030.75
171,-12337.75
172,-12177.75
173,-11631.0
174,-11610.0
175,-11378.5
176,-11204.25
177,-11173.5
178,-11424.25
179,-11382.5
180,-11543.5
181,-11842.75
182,-11844.5
183,-12062.25
184,-12066.25
185,-12171.5
186,-12057.25
187,-12105.25
188,-12059.5
189,-12064.25
190,-11846.0
191,-11877.0
192,-12052.75
193,-12199.75
194,-12128.75
195,-12063.25
196,-12061.0
197,-11955.5
198,-11727.5
199,-11490.25
200,-11484.25
201,-11989.5
202,-12570.0
203,-12223.25
204,-12161.25
205,-12176.5
206,-12226.5
207,-12343.25
208,-12470.0
209,-12591.5
210,-12549.5
211,-12583.0
212,-12510.75
213,-12467.5
214,-12506.0
215,-12412.0
216,-12306.75
217,-12017.0
218,-12118.25
219,-12480.25
220,-12570.0
221,-12633.25
222,-12543.5
223,-12392.25
224,-12463.0
225,-12398.75
226,-12559.5
227,-12719.0
228,-12671.0
229,-12616.5
230,-12543.25
231,-12369.75
232,-12277.5
233,-12286.75
234,-12327.25
235,-12357.75
236,-12353.5
237,-12432.0
238,-12270.5
239,-12194.5
240,-12424.25
241,-12339.25
242,-12345.0
243,-12403.75
244,-12306.0
245,-12423.25
246,-12483.5
247,-12468.25
248,-12208.75
249,-12111.75
250,-11950.75
251,-12276.75
252,-12471.0
253,-12555.25
254,-12250.5
255,-12160.0
256,-12195.75
257,-12227.0
258,-12415.5
259,-12612.75
260,-12640.75
261,-12459.75
262,-12273.0
263,-12284.75
264,-12474.75
265,-13152.0
266,-12965.75
267,-12530.0
268,-12356.0
269,-12148.0
270,-12068.0
271,-12353.5
272,-12495.5
273,-12293.25
274,-12285.0
275,-12258.75
276,-12179.75
277,-12185.5
278,-12190.0
279,-12181.75
280,-12505.5
281,-12418.25
282,-12446.75
283,-12482.75
284,-12312.5
285,-12470.75
286,-12620.25
287,-12610.25
288,-12496.0
289,-12456.25
290,-12265.75
291,-12345.5
292,-12339.75
293,-12199.25
294,-12132.5
295,-12167.25
296,-12382.25
297,-12426.25
298,-12308.75
299,-12192.5
300,-12387.0
301,-12549.25
302,-12514.0
303,-12616.25
304,-12482.5
305,-12133.5
306,-12101.0
307,-11978.75
308,-11839.5
309,-11878.5
310,-11829.25
311,-11801.75
312,-12191.5
313,-12448.25
314,-12427.75
315,-12380.75
316,-12530.75
317,-12634.5
318,-12338.75
319,-12225.5
320,-12332.25
321,-12523.75
322,-12600.0
323,-12573.0
324,-12671.0
325,-12652.5
326,-12599.5
327,-12568.5
328,-12528.75
329,-12574.5
330,-12542.0
331,-12738.0
332,-12500.5
333,-12637.5
334,-12537.75
335,-12807.0
336,-12884.75
337,-12841.0
338,-12839.0
339,-12377.75
340,-12281.0
341,-12415.25
342,-12753.0
343,-12712.75
344,-12525.25
345,-12712.5
346,-13230.5
347,-13187.0
348,-12636.75
349,-12542.5
350,-12705.5
351,-12631.25
352,-12414.5
353,-12281.0
354,-12247.75
355,-12150.0
356,-12443.75
357,-12636.5
358,-12396.75
359,-12148.5
360,-11970.75
361,-12339.0
362,-12684.0
363,-12748.75
364,-12926.5
365,-12797.5
366,-12607.75
367,-12122.0
368,-12177.0
369,-12020.5
370,-12292.25
371,-12556.5
372,-12433.5
373,-12143.75
374,-11991.5
375,-11688.5
376,-11472.25
377,-11304.0
378,-11324.25
379,-11517.5
380,-11785.5
381,-12118.75
